Product,Issue,Company,State,Complaint ID,ZIP code
checking savings account,managing account,navy federal credit union,FL,3238275,328XX
checking savings account,managing account,boeing employees credit union,WA,3238228,98204
debt collection,communication tactics,curo intermediate holdings,TX,3237964,751XX
credit reporting credit repair services personal consumer reports,incorrect information report,ad astra recovery services inc,LA,3238479,708XX
checking savings account,managing account,ally financial inc,AZ,3238460,85205
mortgage,closing mortgage,statebridge company,NJ,3237885,08302
student loan,struggling repay loan,student loan direct,TX,3238221,773XX
debt collection,attempts collect debt owed,diversified consultants inc,SC,3238545,296XX
credit reporting credit repair services personal consumer reports,incorrect information report,contract callers inc,MD,3238458,20774
vehicle loan lease,struggling pay loan,ally financial inc,NV,3238036,891XX
debt collection,false statements representation,miramed revenue group llc,VA,3237941,23156
debt collection,false statements representation,commonwealth financial systems inc,TX,3237971,774XX
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,ally financial inc,TX,3237837,774XX
debt collection,took threatened take negative legal action,navy federal credit union,FL,3237928,346XX
debt collection,communication tactics,mercantile adjustment bureau llc,NY,3238682,14609
debt collection,attempts collect debt owed,hcfs health care financial services inc,AZ,3237088,852XX
checking savings account,managing account,ally financial inc,CO,3237160,81302
debt collection,false statements representation,diversified consultants inc,NJ,3236983,087XX
debt collection,false statements representation,ally financial inc,MI,3237404,48185
debt collection,written notification debt,weltman weinberg reis co lpa,OH,3236857,432XX
debt collection,threatened contact someone share information improperly,cashcall inc,CA,3236737,944XX
debt collection,attempts collect debt owed,ability recovery services llc,NC,3237833,28216
credit reporting credit repair services personal consumer reports,incorrect information report,nissan motor acceptance corporation,TX,3237655,797XX
credit reporting credit repair services personal consumer reports,improper use report,first advantage corporation,UT,3237100,84401
debt collection,written notification debt,midwest fidelity services llc,IL,3237425,60025
debt collection,attempts collect debt owed,hcfs health care financial services inc,FL,3236953,33056
debt collection,written notification debt,nicholas financial inc,FL,3237247,338XX
debt collection,attempts collect debt owed,sfs inc,NC,3236773,28752
debt collection,took threatened take negative legal action,curo intermediate holdings,ME,3237657,04042
credit reporting credit repair services personal consumer reports,incorrect information report,diversified consultants inc,FL,3237831,328XX
debt collection,attempts collect debt owed,ad astra recovery services inc,OR,3237515,972XX
mortgage,closing mortgage,quicken loans inc,NJ,3237320,08619
credit reporting credit repair services personal consumer reports,incorrect information report,cmi group inc,SC,3237630,297XX
debt collection,written notification debt,ncc business services inc,NY,3236839,132XX
debt collection,attempts collect debt owed,sequoia financial services,CA,3237250,91205
debt collection,attempts collect debt owed,uscb inc,AZ,3236808,85713
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,NC,3236855,276XX
debt collection,communication tactics,erc,NC,3237137,280XX
mortgage,trouble payment process,citibank na,NJ,3237284,07735
vehicle loan lease,problems end loan lease,ally financial inc,TX,3236888,750XX
vehicle loan lease,incorrect information report,navy federal credit union,VA,3237300,235XX
debt collection,attempts collect debt owed,convergent resources inc,MI,3237758,48162
debt collection,communication tactics,mccarthy burgess wolff inc,TX,3237483,782XX
credit card prepaid card,fees interest,navy federal credit union,WI,3237779,546XX
debt collection,written notification debt,getm incorporated,CA,3236826,924XX
debt collection,written notification debt,ad astra recovery services inc,TX,3237308,777XX
checking savings account,problem lender company charging account,navy federal credit union,MD,3237252,207XX
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,CA,3236867,949XX
vehicle loan lease,managing loan lease,ally financial inc,MN,3236982,550XX
debt collection,communication tactics,diversified consultants inc,NV,3237211,89119
